Authors,Author full names,Author(s) ID,Title,Year,Source title,Cited by,DOI,Affiliations,Author Keywords,Index Keywords,Publisher,Language of Original Document,Document Type,Open Access,ISSN,EID
Guerra A.A.C.; dos Santos A.C.A.; de Abreu N.R.; Fouto N.M.M.D.,"Guerra, Alberto A.C. (59131056600); dos Santos, Anna Célia Affonso (59131056700); de Abreu, Nelsio Rodrigues (26421048800); Fouto, Nuno M.M.D. (35774155900)",59131056600; 59131056700; 26421048800; 35774155900,SHOPPING HABIT FORMATION BY CONSUMERS ON BLACK FRIDAY; [FORMAÇÃO DE HABITOS DE COMPRAS PELOS CONSUMIDORES NA BLACK FRIDAY],2023,Revista Brasileira de Marketing,1,10.5585/remark.v22i5.22565,"Academic Dean at Centro Universitário Unimetrocamp, SP, Campinas, Brazil; University of Sao Paulo -USP, SP, São Paulo, Brazil; Federal University of Paraíba, PB, João Pessoa, Brazil; University of Sao Paulo-USP, SP, São Paulo, Brazil",Black Friday Shopping; Customer behavior; Habit Formation; Theory of Planned Behavior (TPB),,Universidade Nove de Julho-UNINOVE,English,Article,All Open Access; Gold Open Access,21775184,2-s2.0-85193352799
M. Marques A.,"M. Marques, André (33167660100)",33167660100,"Poverty, population growth and agglomeration effects in all Brazil cities",2023,EconomiA,0,10.1108/ECON-11-2022-0163,"Department of Economics, UFPB, Joao Pessoa, Brazil",Agglomeration; Cities; Endogeneity; Growth; Poverty; Productivity,,Emerald Publishing,English,Article,All Open Access; Gold Open Access; Green Open Access,15177580,2-s2.0-85196003718
de Araujo Machado P.; Porto-Bellini C.G.; de Cássia de Faria Pereira R.; Shah V.; de Luna F.M.,"de Araujo Machado, Petruska (57215425819); Porto-Bellini, Carlo G. (57207961865); de Cássia de Faria Pereira, Rita (55609244900); Shah, Vishal (57202456936); de Luna, Franklin Martins (59308048200)",57215425819; 57207961865; 55609244900; 57202456936; 59308048200,Mobile Payment Innovations in Ambiguously Enforced Use Contexts: A Study Amid the COVID-19 Pandemic in Brazil,2024,Journal of Electronic Commerce in Organizations,0,10.4018/JECO.352847,"Federal University of Rio Grande, Brazil; Federal University of Paraíba, Brazil; Central Michigan University, United States; Federal University of Campina, Grande, Brazil",Behavioral Change; Consumer Behavior; Innovation Adoption; Locus of Control; Mobile Services; Structural Equation Modeling; Technology Use,,IGI Global,English,Article,All Open Access; Gold Open Access,15392937,2-s2.0-85202764294
Martins T.S.; de Souza F.G.; Campos M.C.C.; da Cunha J.M.; Brito W.B.M.; de Lima A.F.L.; de Assis J.M.; Oliveira I.A.; de Oliveira F.P.; de Brito Filho E.G.,"Martins, Thalita Silva (57219122266); de Souza, Fernando Gomes (57202749100); Campos, Milton César Costa (15841673600); da Cunha, José Maurício (57196478638); Brito, Wildson Benedito Mendes (57196480902); de Lima, Alan Ferreira Leite (57207957947); de Assis, Juliana Malta (57861353600); Oliveira, Ivanildo Amorim (36661957700); de Oliveira, Flávio Pereira (35621496700); de Brito Filho, Elilson Gomes (57212027061)",57219122266; 57202749100; 15841673600; 57196478638; 57196480902; 57207957947; 57861353600; 36661957700; 35621496700; 57212027061,"Spatial variability of chemical indicators of Amazon agricultural soils through geomultivariate statistics, Brazil",2023,Environmental Monitoring and Assessment,4,10.1007/s10661-023-11735-3,"Federal University of Paraíba (UFPB), Agricultural Sciences Center (CCA), Paraíba, Areia, Brazil; Department of Rural Engineering, Federal University of Roraima (UFRR), Roraima, Boa Vista, Brazil; Federal University of Amazonas (UFAM), Institute of Education, Agriculture and Environment (IEAA), Amazonas, Humaitá, Brazil; Federal University of Amazonas (UFAM), Faculty of Agricultural Sciences (FCA), Amazonas, Manaus, Brazil; Federal Institute of Education, Science and Technology of Rondônia (IFRO), Campus Ariquemes, Rondônia, Ariquemes, Brazil",Amazon soils; Geostatistics; Multivariate analysis; Soil management,Agriculture; Brazil; Environmental Monitoring; Forests; Soil; Brazil; Agronomy; Forestry; Indicators (chemical); Multivariant analysis; Soil surveys; aluminum; calcium ion; hydrogen; magnesium ion; phosphorus; potassium ion; Agricultural soils; Agricultural use; Amazon soils; Chemical attributes; Geo-statistics; Geostatistical; Multi variate analysis; Native forests; Soil management; Spatial variability; multivariate analysis; performance assessment; pH; sampling; soil management; spatial analysis; spatial variation; variogram; agriculture; Article; Brazil; cation exchange capacity; chemical parameters; environmental aspects and related phenomena; forest; guarana; pH; soil; soil analysis; agriculture; environmental monitoring; Soils,Springer Science and Business Media Deutschland GmbH,English,Article,,01676369,2-s2.0-85170162502
Sales H.F.S.; Bonifácio T.A.S.; Leite L.H.; Rodrigues S.J.; Silva G.M.; de Andrade M.J.O.; dos Santos N.A.,"Sales, Hemerson Fillipy Silva (57199648179); Bonifácio, Thiago Augusto de Souza (57219140754); Leite, Lívia Henrique (57719588300); Rodrigues, Stephanye Jullyane (57218527069); Silva, Gabriella Medeiros (57216868250); de Andrade, Michael Jackson Oliveira (55757334600); dos Santos, Natanael Antonio (16177421000)",57199648179; 57219140754; 57719588300; 57218527069; 57216868250; 55757334600; 16177421000,Investigation of attentional bias in anxiety through exposure to facial expressions: an eye-tracking study; [Investigação do viés atencional na ansiedade por meio da exposição a expressões faciais: um estudo de rastreamento ocular],2024,Estudos de Psicologia (Campinas),0,10.1590/1982-0275202441e220002,"Centro Universitário do Rio São Francisco, Departamento de Psicologia, BA, Paulo Afonso, Brazil; Fundação Universidade Federal do ABC, Centro de Matemática, Computação e Cognição, Timing and Cognition Lab, SP, São Bernardo do Campo, Brazil; Universidade Federal da Paraíba, Departamento de Psicologia, Laboratório de Percepção, Neurociência e Comportamento, PB, João Pessoa, Brazil; Autonomous Research, PB, João Pessoa, Brazil; Universidade do Estado de Minas Gerais, Departamento de Psicologia, Laboratório de Neurociências, Cronobiologia e Psicologia do Sono, MG, Divinópolis, Brazil",Anxiety; Attentional bias; Eye-tracking,,Pontificia Universidade Catolica de Campinas,English,Article,All Open Access; Gold Open Access; Green Open Access,0103166X,2-s2.0-85205264574
Pino-Ortega J.; Gantois P.; Méndez A.; Rico-González M.,"Pino-Ortega, José (57212882611); Gantois, Petrus (57194699068); Méndez, Amaia (34877491100); Rico-González, Markel (57211447357)",57212882611; 57194699068; 34877491100; 57211447357,The influence of the setup shape of a portable UWB system’s antennas in sport,2023,"Proceedings of the Institution of Mechanical Engineers, Part P: Journal of Sports Engineering and Technology",4,10.1177/17543371211041885,"Faculty of Sports Sciences, University of Murcia, San Javier, Spain; BIOVETMED & SPORTSCI Research Group, Department of Physical activity and Sport, Faculty of Sport Sciences, University of Murcia, San Javier, Spain; Associate Graduate Programme in Physical Education UPE/UFPB, João Pessoa, Brazil; Department of Mechanics, Design and Industrial Management, Faculty of Engineering, University of Deusto, Bilbao, Spain; Department of Physical Education and Sport, University of the Basque Country – UPV-EHU, Vitoria-Gasteiz, Spain",accuracy; antenna; data analysis; local positioning system; time-motion; UWB,Broadband networks; Mobile antennas; Sports; Accuracy; Antenna positioning; Local positioning system; Performance; Time motions; Ultra wideband system; Ultra-wide; Ultra-wide band; Ultra-wideband technology; Wide-band; Ultra-wideband (UWB),SAGE Publications Ltd,English,Article,,17543371,2-s2.0-85113556846
da Silva Nascimento M.; dos Santos P.H.; de Abreu F.F.; Shan A.Y.K.V.; Amaral R.G.; Andrade L.N.; Souto E.B.; Santos M.I.S.; de Souza Graça A.; Souza J.B.; Raimundo e Silva J.P.; Tavares J.F.; de Oliveira e Silva A.M.; Correa C.B.; Montalvão M.M.; Piacente S.; Pizza C.; Camargo E.A.; dos Santos Estevam C.,"da Silva Nascimento, Marcel (58551773400); dos Santos, Péligris H. (56092059800); de Abreu, Fabiula F. (58551215900); Shan, Andrea Y. K. V. (56368121200); Amaral, Ricardo G. (56559667800); Andrade, Luciana N. (36142731600); Souto, Eliana B. (8839435500); Santos, Matheus I. S. (56367638300); de Souza Graça, Ariel (57215775349); Souza, Jesica B. (58551547900); Raimundo e Silva, Joanda P. (57218499082); Tavares, Josean F. (14052955400); de Oliveira e Silva, Ana M. (26026894600); Correa, Cristiane B. (56393994700); Montalvão, Monalisa M. (57188805596); Piacente, Sonia (7003865150); Pizza, Cosimo (7005111527); Camargo, Enilton A. (7102485538); dos Santos Estevam, Charles (36145966300)",58551773400; 56092059800; 58551215900; 56368121200; 56559667800; 36142731600; 8839435500; 56367638300; 57215775349; 58551547900; 57218499082; 14052955400; 26026894600; 56393994700; 57188805596; 7003865150; 7005111527; 7102485538; 36145966300,Schinus terebinthifolius Raddi (Brazilian pepper) leaves extract: in vitro and in vivo evidence of anti-inflammatory and antioxidant properties,2023,Inflammopharmacology,16,10.1007/s10787-023-01316-8,"Graduate Program in Physiological Sciences, Federal University of Sergipe, Sergipe, São Cristóvão, 49000-100, Brazil; Department of Physiology, Federal University of Sergipe, Sergipe, São Cristóvão, 49000-100, Brazil; UCIBIO—Applied Molecular Biosciences Unit, MEDTECH, Laboratory of Pharmaceutical Technology, Department of Drug Sciences, Faculty of Pharmacy, University of Porto, Porto, 4050-313, Portugal; Associate Laboratory i4HB—Institute for Health and Bioeconomy, Faculty of Pharmacy, University of Porto, Porto, 4050-313, Portugal; Health Sciences Center, Postgraduate Program in Natural and Synthetic Bioactive Products, Universidade Federal da Paraíba (UFPB), PB, João Pessoa, 58051-970, Brazil; Department of Nutrition, Federal University of Sergipe, Sergipe, São Cristóvão, 49000-100, Brazil; Department of Morphology, Federal University of Sergipe, Sergipe, São Cristóvão, 49000-100, Brazil; Department of Pharmacy, University of the Study of Salerno, Via Giovanni Paolo II n. 132, Salerno, Fisciano, 84084, Italy",Cytokines; Inflammation; Medicinal plant; Oxidative stress; Phenolic compounds; Schinus terebinthifolius,Anacardiaceae; Animals; Anti-Inflammatory Agents; Antioxidants; Brazil; Mice; Plant Extracts; Plant Leaves; Quercetin; Schinus; acetic acid ethyl ester; antiinflammatory agent; catalase; dexamethasone; flavonoid; gallic acid; glutathione peroxidase; hydroperoxide; interleukin 10; interleukin 6; phenol derivative; phorbol 13 acetate 12 myristate; plant extract; quercetin; Schinus terebinthifolius extract; superoxide dismutase; tumor necrosis factor; unclassified drug; antiinflammatory agent; antioxidant; plant extract; animal experiment; animal model; animal tissue; antiinflammatory activity; antioxidant activity; Article; cell viability; controlled study; in vitro study; in vivo study; lipid peroxidation; liquid chromatography-mass spectrometry; male; mouse; nonhuman; otitis; oxidative stress; plant leaf; Schinus terebinthifolius; TPA-induced ear edema; Anacardiaceae; animal; Brazil; chemistry; plant leaf; Schinus,Springer Science and Business Media Deutschland GmbH,English,Article,All Open Access; Green Open Access; Hybrid Gold Open Access,09254692,2-s2.0-85168906552
Rahnama B.; Raeisi H.; Francini-Filho R.; Rosa R.S.,"Rahnama, Behzad (56362709800); Raeisi, Hadi (57218434040); Francini-Filho, Ronaldo (6507776920); Rosa, Ricardo Souza (7102610612)",56362709800; 57218434040; 6507776920; 7102610612,"The use of different otolith-shape analyses for stock discrimination of Yellowtail Snapper Ocyurus chrysurus, (Bloch, 1791) in the coastal waters of northeastern Brazil",2023,International Journal of Aquatic Biology,3,10.22034/ijab.v11i6.1852,"Graduate Program in Biological Sciences (Zoology), Department of Systematics and Ecology (DSE), Center of Exact and Natural Sciences (CCEN), Federal University of Paraíba (UFPB), Cidade Universitária, PB, João Pessoa, Brazil; Caspian Sea Ecology Research Center (CSERC), Iranian Fisheries Science Research Institute (IFSRI), Agricultural Research, Education and Extension Organization (AREEO), Sari, Iran; Department of Fisheries, Faculty of Agriculture and Natural Resources, Gonbad Kavous University, Gonbad Kavous, Iran; Marine Biodiversity and Conservation Lab, Centre for Marine Biology, University of São Paulo, 11612-109, Brazil; Department of Systematics and Ecology, Center of Exact and Environmental Sciences, Federal University of Paraíba (UFPB), Cidade Universitária, PB, João Pessoa, Brazil",Elliptical; Fourier descriptors; Morphometric; Shape indices; Transform; Wavelet,,Iranian Society of Ichthyology,English,Article,,23830956,2-s2.0-85184422556
Dourado A.D.; Zambroni-De-souza P.C.; Bolis I.,"Dourado, Amanda Dias (59424859400); Zambroni-De-souza, Paulo César (14068288300); Bolis, Ivan (55189850300)",59424859400; 14068288300; 55189850300,Relationship between subjective mobilization and presenteeism in the illness of workers; [A Relação da Mobilização Subjetiva com o Presenteísmo no Adoecimento de Trabalhadores]; [La Relación de La Movilización Subjetiva con el Presentismo en la Enfermedad de los Trabajadores],2023,Estudos de Psicologia (Natal),0,10.22491/1678-4669.20230006,"Programa de Pós Graduação em Psicologia Social da Universidade Federal da Paraíba (PPGPS/UFPB), Psicologia Social do Trabalho pela Universidade Federal da Paraíba (PPGPS/UFPB), Brazil; Universidade do Estado do Rio de Janeiro (UERJ), Conservatoire National des Arts et Métiers-Paris (CNAM), Departamento de Psicologia da Universidade Federal da Paraíba (UFPB) e Bolsista de produtividade em pesquisa do CNPq/PQ2, Brazil; Escola Politécnica da Universidade de São Paulo (USP), Departamento de Engenharia da Produção da Universidade Federal da Paraíba (UFPB) e Bolsista de produtividade em pesquisa do CNPq/PQ2, Brazil",safety at work; subjectivity; worker’s health,,Universidade Federal do Rio Grande do Norte,Portuguese,Article,All Open Access; Gold Open Access,1413294X,2-s2.0-85210162480
Reis R.L.A.; Lopes F.V.; Ribeiro E.P.; Moraes C.M.; Silva K.M.; Britto A.M.; Agostinho R.L.; Rodrigues M.A.M.,"Reis, R.L.A. (7103370551); Lopes, F.V. (55700698000); Ribeiro, E.P. (57207312831); Moraes, C.M. (57221682722); Silva, K.M. (9744170000); Britto, A.M. (57207303165); Agostinho, R.L. (58477265900); Rodrigues, M.A.M. (57192090457)",7103370551; 55700698000; 57207312831; 57221682722; 9744170000; 57207303165; 58477265900; 57192090457,Traveling wave-based fault locators: Performance analysis in series-compensated transmission lines,2023,Electric Power Systems Research,9,10.1016/j.epsr.2023.109567,"Federal University of Paraíba (UFPB), Brazil; University of Brasília (UnB), Brazil; Evoltz, Brazil; CEPEL, Brazil",Correlation-based functions; Fault location; Series capacitors; Transmission lines; Traveling waves; Two-ended methods,Electric power system protection; Electric power transmission; Surge protection; Transmissions; Correlation-based function; Fault locator; Location techniques; Performance; Performances analysis; Series capacitors; Series compensated transmission lines; Transmission-line; Travelling waves; Two-ended method; Electric lines,Elsevier Ltd,English,Article,,03787796,2-s2.0-85164744529
Otoni W.C.; Soares J.R.; Souza C.S.; Silva L.A.S.; Dias L.L.L.; Robledo K.J.M.; Paim-Pinto D.L.; Koehler A.D.; Sodrzeieski P.A.; Fernandes A.M.; Vieira L.M.; Silva P.O.; Silveira E.C.; Matos E.M.; Carvalho I.F.; Romanel E.; Batista D.S.; Viccini L.F.; Faleiro F.G.; Rocha D.I.; Nogueira F.T.S.; Silva M.L.C.,"Otoni, Wagner Campos (6701892905); Soares, Jéssica Ribeiro (57223913739); Souza, Claudinei Silva (57223953445); Silva, Lázara Aline Simões (57211446916); Dias, Lana Laene Lima (57786608800); Robledo, Kerly Jessenia Moncaleano (58946473000); Paim-Pinto, Daniela Lopes (57200318626); Koehler, Andréa Dias (57191608139); Sodrzeieski, Pedro Alexandre (57207991627); Fernandes, Amanda Mendes (57210057477); Vieira, Lorena Melo (24448806700); Silva, Priscila Oliveira (57208788711); Silveira, Emerson Campos (59216958400); Matos, Elyabe Monteiro (57193573980); Carvalho, Ilio Fealho (57202078665); Romanel, Elisson (26647796800); Batista, Diego Silva (55966783800); Viccini, Lyderson Facio (6601979782); Faleiro, Fábio Gelape (6507930834); Rocha, Diego Ismael (35722833300); Nogueira, Fábio Tebaldi Silveira (8776414700); Silva, Maurecilne Lemes Carvalho (57223953628)",6701892905; 57223913739; 57223953445; 57211446916; 57786608800; 58946473000; 57200318626; 57191608139; 57207991627; 57210057477; 24448806700; 57208788711; 59216958400; 57193573980; 57202078665; 26647796800; 55966783800; 6601979782; 6507930834; 35722833300; 8776414700; 57223953628,Advances in Tissue Culture and Transformation Studies in Non-model Species: Passiflora spp. (Passifloraceae),2024,Methods in Molecular Biology,5,10.1007/978-1-0716-3954-2_15,"Laboratório de Cultura de Tecidos—LCT/BIOAGRO, Departamento de Biologia Vegetal, Universidade Federal de Viçosa, MG, Viçosa, Brazil; Department of Biological Sciences, Center for Biotechnology and Life Sciences, The University of Rhode Island, Kingston, RI, United States; Lethbridge College, Lethbridge, AB, Canada; Departamento de Biologia Vegetal, Universidade Federal de Viçosa, MG, Viçosa, Brazil; Laboratório de Genética e Biotecnologia, ICB, Departamento de Biologia, Universidade Federal de Juiz de Fora, MG, Juiz de Fora, Brazil; Departamento de Biologia, Universidade do Estado de Mato Grosso, MT, Tangará da Serra, Brazil; Laboratório de Genômica de Plantas e Bioenergia (PGEMBL), Escola de Engenharia de Lorena (EEL), Universidade de São Paulo (USP), SP, Lorena, Brazil; Departamento de Agricultura, Universidade Federal da Paraíba, Campus Universitário III, S/N, PB, Bananeiras, Brazil; Empresa Brasileira de Pesquisa Agropecuária—Embrapa Cerrados, DF, Planaltina, Brazil; Departamento de Agronomia, Universidade Federal de Viçosa, MG, Viçosa, Brazil; Departamento de Ciências Biológicas, Escola Superior de Agricultura Luiz de Queiroz (ESALQ), SP, Piracicaba, Brazil",Developmental phase transitions; Endosperm culture; Genetic transformation; In vitro morphogenesis; MicroRNAs; Passiflora; Somatic embryogenesis; Triploids,"Endosperm; Gene Expression Regulation, Plant; MicroRNAs; Passiflora; Plant Somatic Embryogenesis Techniques; Plants, Genetically Modified; Tissue Culture Techniques; Transformation, Genetic; microRNA; microRNA; commercial phenomena; controlled study; endosperm; genetic transformation; in vitro study; morphogenesis; nonhuman; Passifloraceae; passion fruit; phase transition; protocol; quantitative analysis; somatic embryogenesis; tissue culture; triploidy; gene expression regulation; genetics; growth, development and aging; Passiflora; procedures; somatic embryogenesis; tissue culture technique; transgenic plant",Humana Press Inc.,English,Book chapter,,10643745,2-s2.0-85198454358
Assane A.I.; da Silva Rodrigues A.C.; Ferraço C.E.; de Almeida L.A.A.; de Souza Honorato R.F.,"Assane, Adelino Inácio (57222065167); da Silva Rodrigues, Ana Cláudia (57221647429); Ferraço, Carlos Eduardo (16416784600); de Almeida, Lucinalva Andrade Ataide (55799674200); de Souza Honorato, Rafael Ferreira (57501142800)",57222065167; 57221647429; 16416784600; 55799674200; 57501142800,"Introduction to the Special Issue - The ethical, aesthetic, and political dimensions of research in/of/with daily life: a tribute to public schools!; [Apresentação do dossiê - As dimensões éticas, estéticas e políticas das pesquisas nos/dos/com os cotidianos: um viva à escola pública!]; [Presentación del dossier - Las dimensiones éticas, estéticas y políticas de las investigaciones en/de/con los cotidianos: ¡un viva a la escuela pública!]",2024,Praxis Educativa,0,10.5212/PraxEduc.v.19.24435.116,"Universidade de Rovuma (UR), Mozambique; Universidade Federal da Paraíba (UFPB), Brazil; Universidade Federal do Espírito Santo (UFES), Universidade Federal de Pernambuco (UFPE), Brazil; Universidade Federal de Pernambuco (UFPE), Brazil; Universidade Estadual da Paraíba (UEPB), Brazil",,,"Universidade Estadual de Ponta Grossa, Editora",Portuguese,Editorial,All Open Access; Gold Open Access; Green Open Access,18094031,2-s2.0-85212755023
Vieira T.R.; de Oliveira E.F.C.; Cibulski S.P.; Silva N.M.V.; Borba M.R.; Oliveira C.J.B.; Cardoso M.,"Vieira, Tatiana R. (56856576900); de Oliveira, Esther F. Cavinatto (57219354635); Cibulski, Samuel P. (26631866000); Silva, Núbia M.V. (57213708099); Borba, Mauro R. (26538548800); Oliveira, Celso J.B. (58609280600); Cardoso, Marisa (35447955000)",56856576900; 57219354635; 26631866000; 57213708099; 26538548800; 58609280600; 35447955000,"Comparative resistome, mobilome, and microbial composition of retail chicken originated from conventional, organic, and antibiotic-free production systems",2023,Poultry Science,11,10.1016/j.psj.2023.103002,"Department of Preventive Veterinary Medicine, Federal University of Rio Grande do Sul (UFRGS), RS, Porto Alegre, 91540-000, Brazil; Department of Biotechnology, Center for Biotechnology (CBiotec), Federal University of Paraiba (UFPB), PB, Areia, 58397-000, Brazil; Federal Institute of Education, Science and Technology of Sertão Pernambucano, Campus Salgueiro (IF-Sertão Pernambucano), PE, Salgueiro, 56000-000, Brazil; Department of Animal Sciences, College of Agricultural Sciences (CCA), Federal University of Paraiba (UFPB), PB, Areia, 58397-000, Brazil",antimicrobial resistance; food safety; metagenomics; one health; poultry industry,"Animal Husbandry; Animals; Anti-Bacterial Agents; Bacteria; Chickens; Cross-Sectional Studies; Drug Resistance, Bacterial; Interspersed Repetitive Sequences; Meat; Microbiota; Organic Agriculture; antiinfective agent; animal; animal husbandry; antibiotic resistance; bacterium; cross-sectional study; drug effect; Gallus gallus; genetics; interspersed repeat; isolation and purification; meat; microbiology; microflora; organic farming; procedures",Elsevier Inc.,English,Article,All Open Access; Gold Open Access; Green Open Access,00325791,2-s2.0-85171799811
Andrade J.H.; Caju R.; Do J.M.Ó.; Ratzkin J.; Santos A.S.,"Andrade, João Henrique (57219493117); Caju, Rayssa (57210283753); Do, João Marcos Ó. (57219481400); Ratzkin, Jesse (14631080400); Santos, Almir Silva (35726898000)",57219493117; 57210283753; 57219481400; 14631080400; 35726898000,Constant Q-curvature metrics with Delaunay ends: The nondegenerate case,2024,Annali della Scuola Normale Superiore di Pisa - Classe di Scienze ,3,10.2422/2036-2145.202111_001,"Department of Mathematics University of British Columbia, Vancouver, V6T 1Z2, BC, Canada; Institute of Mathematics and Statistics University of São Paulo, SP, São Paulo, 05508-090, Brazil; Department of Mathematical Engineering, University of Chile Beauchef 851, Edificio Norte Santiago, Chile; Department of Mathematics Federal University of Paraíba, PB, João Pessoa, 58051-900, Brazil; Department of Mathematics Universität Würzburg, BA, Würzburg, 97070, Germany; Department of Mathematics Federal University of Sergipe, Sao Cristovão-SE, 49100-000, Brazil",35B40 (secondary); 35J30; Mathematics Subject Classification (2020): 35J60 (primary); 35B09,,Scuola Normale Superiore,English,Article,All Open Access; Green Open Access,0391173X,2-s2.0-85148700620
Aguiar A.C.D.; Almeida L.N.A.; Pernambuco L.; Ramos N.; Andrade J.M.D.; Behlau M.; Almeida A.A.,"Aguiar, Alexandra Christine de (57205217388); Almeida, Larissa Nadjara Alves (56369175100); Pernambuco, Leandro (37001156100); Ramos, Noemi (57219186649); Andrade, Josemberg Moura de (55531196100); Behlau, Mara (57203051102); Almeida, Anna Alice (57069542000)",57205217388; 56369175100; 37001156100; 57219186649; 55531196100; 57203051102; 57069542000,Urica-VV Scale: A New Research Perspective of The Stage of Readiness for Treatment in Patients with Dysphonia,2023,Journal of Voice,6,10.1016/j.jvoice.2021.06.004,"Speech therapist. Master's degree in Speech Therapy and Doctoral Student in Decision and Health Models from Federal University of Paraíba (Universidade Federal da Paraíba – UFPB); Speech therapist. PhD in Decision and Health Models from Federal University of Paraíba (Federal University of Paraíba - UFPB); Speech therapist. Professor, Department of Speech Therapy, Federal University of Paraíba; Speech therapist. Master's degree in Decision and Health Models from Federal University of Paraíba (Federal University of Paraíba - UFPB); Psychologist. Professor, Department of Social and Work Psychology, University of Brasília (Universidade de Brasília - UnB), Brazil; Speech therapist. Professor, Graduate Program in Human Communication Disorders, Federal University of São Paulo – (Universidade Federal de São Paulo – UNIFESP). Centro de Estudos da Voz, São Paulo, SP, Brazil",Dysphonia; Motivation; Protocols; Psychometrics; Self-assessment; Voice disorders,Adolescent; Adult; Dysphonia; Female; Humans; Male; Quality of Life; Speech Therapy; Voice; Voice Quality; adult; Article; confirmatory factor analysis; controlled study; cross-sectional study; descriptive research; dysphonia; exploratory factor analysis; female; human; instrument validation; internal consistency; item response theory; major clinical study; male; psychometry; theoretical model; University of Rhode Island Change Assessment Voice Validated Scale; voice disorder assessment; adolescent; dysphonia; quality of life; speech therapy; voice,Elsevier Inc.,English,Article,,08921997,2-s2.0-85111116949
De la Fuente M.F.; de Araújo B.M.C.; da Silva Policarpo I.; Pereira H.M.; Borges A.K.M.; Vieira W.L.S.; Pereira Filho G.A.; Alves R.R.N.,"De la Fuente, María Fernanda (56708168500); de Araújo, Bruna Monielly Carvalho (57206731082); da Silva Policarpo, Iamara (57193058572); Pereira, Heliene Mota (57206719992); Borges, Anna Karolina Martins (57201481403); Vieira, Washington Luiz Silva (57224134667); Pereira Filho, Gentil Alves (16304783200); Alves, Rômulo Romeu Nóbrega (35608472400)",56708168500; 57206731082; 57193058572; 57206719992; 57201481403; 57224134667; 16304783200; 35608472400,Keeping reptiles as pets in Brazil: keepers’ motivations and husbandry practices,2023,Journal of Ethnobiology and Ethnomedicine,9,10.1186/s13002-023-00618-z,"Programa de Pós-Graduação em Etnobiologia e Conservação da Natureza, Universidade Estadual da Paraíba, PB, Campina Grande, Brazil; Programa de Pós-Graduação em Ciências Biológicas (Zoologia), Universidade Federal da Paraíba, João Pessoa, Brazil; LAPEC - Laboratório de Peixes e Conservação Marinha, Universidade Estadual da Paraíba, João Pessoa, Brazil; Programa de Pós-Graduação em Ciências Biológicas (Zoologia), Laboratório de Ecofisiologia Animal, Departamento de Sistemática e Ecologia, Centro de Ciências Exatas e da Natureza, Universidade Federal da Paraíba, João Pessoa, Brazil; Departamento de Biologia, Universidade Estadual da Paraíba, PB, Campina Grande, Brazil",Animal welfare; Companion animals; Ethnozoology; Exotic pet; Netography,Animal Husbandry; Animals; Brazil; Cat Diseases; Cats; Dog Diseases; Dogs; Humans; Motivation; Pets; Rabbits; Reptiles; animal; animal husbandry; Brazil; cat; cat disease; dog; dog disease; human; Leporidae; motivation; pet animal; reptile,BioMed Central Ltd,English,Article,All Open Access; Gold Open Access; Green Open Access,17464269,2-s2.0-85174602596
Nogueira P.L.; da Nóbrega Alves D.; Queiroga Gomes da Costa P.C.; Araujo G.R.; Ferreira A.R.; Gomes Moura Farias A.P.; Ferreira de Sousa N.; Sobral M.V.; Pergentino de Sousa D.; Scotti M.T.; Scotti L.; Dias de Castro R.,"Nogueira, Paula Lima (58733130300); da Nóbrega Alves, Danielle (57221789049); Queiroga Gomes da Costa, Palloma Christine (58735678200); Araujo, Gleycyelly Rodrigues (58733863300); Ferreira, Alana Rodrigues (57037700600); Gomes Moura Farias, Ana Paula (58733863400); Ferreira de Sousa, Natália (57218562259); Sobral, Marianna Vieira (57210063494); Pergentino de Sousa, Damião (55853620400); Scotti, Marcus Tullius (14825626700); Scotti, Luciana (16744761800); Dias de Castro, Ricardo (57209087739)",58733130300; 57221789049; 58735678200; 58733863300; 57037700600; 58733863400; 57218562259; 57210063494; 55853620400; 14825626700; 16744761800; 57209087739,Derivative of 7-hydroxycoumarin has antifungal potential against Candida species and low cytotoxicity against human cells: In silico studies and biological evaluation,2023,Fungal Biology,2,10.1016/j.funbio.2023.10.007,"Postgraduate Program in Dentistry, Federal University of Paraíba, PB, João Pessoa, Brazil; Department of Clinical and Social Dentistry, Federal University of Paraíba, Campus I, PB, João Pessoa, Brazil; Postgraduate Program in Natural and Synthetic Bioactive Products, Federal University of Paraíba, PB, João Pessoa, Brazil; BrazilHealth Sciences Center, Federal University of Paraíba, Campus I, PB, João Pessoa, 58051-970, Brazil; Health Sciences Center, Federal University of Paraíba, Campus I, PB, João Pessoa, 58051-970, Brazil",Antifungal agents; Candidiasis oral; Molecular docking simulation; Pharmacology; Therapeutics,Antifungal Agents; Candida; Fluconazole; Humans; Microbial Sensitivity Tests; Molecular Docking Simulation; Umbelliferones; antifungal agent; fluconazole; umbelliferone derivative; cell; fungus; membrane; protein; toxicity; Candida; chemistry; human; microbial sensitivity test; molecular docking,Elsevier B.V.,English,Article,,18786146,2-s2.0-85178271233
